"Store Name","Item Name",Unit,Category,"Opening Stock","Goods Receipt","Goods Return","Received Issue","Inventory Adjustment",Consumption,Wastage,"Inventory Deducted","Issued Items","Intransist Items","Manufactured Items","Manufactured Deductions","Closing Stock"
"576275: Kasba, Kolkata","CP Choco Chips 5Ltr",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","CP Vanilla 5Ltr",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","CP butterscotch 5 ltr",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Fm Butter Scotch Crunchi 0.5 Kgs",Pkt,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Fm Plain Shake Premix 1ltr",Ltr,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","PM CC Plastic Glass With Lid 350 ml",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Paper Straw",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Pm Plastic Brownie Container 100 Ml",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Rm Bru Coffee",Gm,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Rm Fm Lemon Ice Tea Sachet",Pkt,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Rm Fm Peach Passion Fruit Ice Tea Sachet",Pkt,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Rm Kesharia Thandai",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Caramelised Onion Spinach Feta Cheese Cup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Cheesy Tomato Mushroom Cup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Chocochip Gooey Brownie",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Double Chocolate Fudgy Brownie",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Blueberry Syrup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Bubble Gum Syrup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Butterscotch Sauce",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Cheesecake Syrup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Coconut Syrup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Filter Coffee",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg French Vanilla Syrup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Hazelnut Syrups",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Irish Cream Syrup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Peanut Butter Sauce",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Short Bread Cookies Syrup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Dvg Tiramisu Syrup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Feta Cheese Spinach Pinwheel",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Keshari Thandai Syrup",Btl,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Lotus Biscoff Brownie",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Mango Beverage Blend",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Mexican Taco Pinwheel",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Mix Berry Beverage Blend",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Pizza Cup",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Td Strawberry Beverage Blend",Nos,"Café Chokolade",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Mimo Slice Cassata Ice Cream 125 ml",Nos,Cassata,23,40,0,0,0,0,0,41,0,0,0,0,22
"576275: Kasba, Kolkata","PM NIC GIFT BOX",Nos,"Gift Box",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Grameen NAS Matka Kulfi Desi Malai 100ml X 2",Nos,"Gk - No Added Sugar",1,0,0,0,0,0,0,0,0,0,0,0,1
"576275: Kasba, Kolkata","Grameen NAS Matka Kulfi Dry Fruit 100ml X 2",Nos,"Gk - No Added Sugar",2,15,0,0,0,0,0,16,0,0,0,0,1
"576275: Kasba, Kolkata","Grameen NAS Slice Kulfi Desi Malai 90ml X 3",Nos,"Gk - No Added Sugar",10,0,0,0,0,0,0,10,0,0,0,0,0
"576275: Kasba, Kolkata","Grameen NAS Stick Kulfi Alphonso Mango 70ml X 1",Nos,"Gk - No Added Sugar",38,20,0,0,0,0,0,33,0,0,0,0,25
"576275: Kasba, Kolkata","Grameen NAS Stick Kulfi Desi Malai 70ml X 1",Nos,"Gk - No Added Sugar",17,60,0,0,0,0,0,23,0,0,0,0,54
"576275: Kasba, Kolkata","Grameen NAS Stick Kulfi Kesar Pista 70ml X 1",Nos,"Gk - No Added Sugar",55,60,0,0,0,0,0,57,0,0,0,0,58
"576275: Kasba, Kolkata","NIC Alphonso Mango 100ml",Nos,"Ice Cream 100ML",12,78,0,0,0,0,0,76,0,0,0,0,14
"576275: Kasba, Kolkata","NIC Anjeer 100ml",Nos,"Ice Cream 100ML",0,12,0,0,0,0,0,7,0,0,0,0,5
"576275: Kasba, Kolkata","NIC Apricot 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Belgian Chocolate 100ml",Nos,"Ice Cream 100ML",2,24,0,0,0,0,0,23,0,0,0,0,3
"576275: Kasba, Kolkata","NIC Chango 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Chickoo 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Choco Chips 100ml",Nos,"Ice Cream 100ML",15,90,0,0,0,0,0,104,0,0,0,0,1
"576275: Kasba, Kolkata","NIC Coffee Walnut 100ml",Nos,"Ice Cream 100ML",0,36,0,0,0,0,0,33,0,0,0,0,3
"576275: Kasba, Kolkata","NIC Dryfruit Over Load 100ml",Nos,"Ice Cream 100ML",0,12,0,0,0,0,0,9,0,0,0,0,3
"576275: Kasba, Kolkata","NIC French Vanilla 100ml",Nos,"Ice Cream 100ML",1,36,0,0,0,0,0,37,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Gajar Halwa 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Gulab Jamun 100ml",Nos,"Ice Cream 100ML",0,12,0,0,0,0,0,11,0,0,0,0,1
"576275: Kasba, Kolkata","NIC Kiwi N Pears 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Litchi 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Macadamia Nuts 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Madagascar 100ml",Nos,"Ice Cream 100ML",1,36,0,0,0,0,0,33,0,0,0,0,4
"576275: Kasba, Kolkata","NIC Malai Barfi 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Mixed Berries 100ml",Nos,"Ice Cream 100ML",1,42,0,0,0,0,0,41,0,0,0,0,2
"576275: Kasba, Kolkata","NIC Modak 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Motichoor Ladoo 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Paan 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Pani Puri 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Plum Cake 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Roasted Almond 100ml",Nos,"Ice Cream 100ML",0,36,0,0,0,0,0,34,0,0,0,0,2
"576275: Kasba, Kolkata","NIC Sea Salt Caramel 100ml",Nos,"Ice Cream 100ML",11,24,0,0,0,0,0,32,0,0,0,0,3
"576275: Kasba, Kolkata","NIC Sheer Khurma 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Sitaphal 100ml",Nos,"Ice Cream 100ML",0,48,0,0,0,0,0,45,0,0,0,0,3
"576275: Kasba, Kolkata","NIC Spicy Guava 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Strawberry 100ml",Nos,"Ice Cream 100ML",0,24,0,0,0,0,0,22,0,0,0,0,2
"576275: Kasba, Kolkata","NIC Strawberry Cheesecake 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Tender Coconut 100ml",Nos,"Ice Cream 100ML",29,72,0,0,0,0,0,93,0,0,0,0,8
"576275: Kasba, Kolkata","NIC Thandai 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","NIC Tilgud & Revdi Ice Cream 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Nic BisCrunch Ice Cream 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Nic Britannia Bourbon Ice Cream 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Nic Nolen Gur Ice Cream 100ml",Nos,"Ice Cream 100ML",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Nic Alphonso Mango Ice Cream 300ml",Nos,"Ice Cream 300ml",0,0,0,0,0,0,0,0,0,0,0,0,0
"576275: Kasba, Kolkata","Nic Choco Chips Ice Cream 300ml",Nos,"Ice Cream 300ml",0,0,0,0,0,0,0,0,0,0,0,0,0
